,sample_number,species,collector,collection,country,dna_concentration,library_id,filename_root,insert_size,content_sd
43,44,S_ellipticum,Pendry,934,Mexico,too high,S-44,PREP0024_RAsprSUB09764A_D01v1_S-44,173.87403629290526,0.0006610368026512055
31,32,S_bonariense,Hatschbach,51921,Brazil,66.4,S-32,PREP0024_RAsprSUB09764A_G12v1_S-32,147.10369997120645,0.0006905410475100378
47,48,S_ellipticum,Rosales,520,El Salvador,40.0,S-48,PREP0024_RAsprSUB09764A_G08v1_S-48,163.35498845634464,0.0006995725156399395
24,25,S_jatrophifolium,Anderson,12371,Argentina,86.4,S-25,PREP0024_RAsprSUB09764A_A12v1_S-25,152.05858718935417,0.0007010185924159351
49,50,S_ellipticum,MacDougal,634GR,Guatemala,too high,S-50,PREP0024_RAsprSUB09764A_G05v1_S-50,160.35566460559247,0.0007140045150153908
59,60,S_emarginatum,Colella et al.,1286,Dominican Republic,28.4,S-60,PREP0024_RAsprSUB09764A_D12v1_S-60,156.52125913053308,0.0007315291478718492
48,49,S_ellipticum,Lorence,3071,Mexico,91.6,S-49,PREP0024_RAsprSUB09764A_A10v1_S-49,156.20156152118443,0.0007330252023256219
91,92,S_bannisterioides,Granville,8353,French Guiana,40.8,S-92,PREP0024_RAsprSUB09764A_G09v1_S-92,138.38035948214787,0.0007345891634777883
42,43,S_ellipticum,Almeda,5543,Costa Rica,85.2,S-43,PREP0024_RAsprSUB09764A_G11v1_S-43,151.04197909158225,0.0007385043950066246
26,27,S_jatrophifolium,Ortíz & Zardini,665,Paraguay,32.4,S-27,PREP0024_RAsprSUB09764A_H10v1_S-27,159.84425529618863,0.0007538610438438795
0,1,S_paralias,Demuner,4839,Brazil,92.0,S-1,PREP0024_RAsprSUB09764A_B10v1_S-1,154.55855343330092,0.0007669399943758628
22,23,S_jatrophifolium,Krapovickas & Cristóbal,28978,Argentina,19.9,S-23,PREP0024_RAsprSUB09764A_G01v1_S-23,158.75723771642163,0.0007831233227331595
68,69,S_puberum,Strudwick & Sobel,3353,Brazil,49.8,S-69,PREP0024_RAsprSUB09764A_C07v1_S-69,150.604913002782,0.0007908115390097407
25,26,S_jatrophifolium,Vanni et al.,3323,Argentina,76.8,S-26,PREP0024_RAsprSUB09764A_B12v1_S-26,155.51554599780442,0.000818776511701858
40,41,S_ellipticum,Llates Q,770,Venezuela,97.4,S-41,PREP0024_RAsprSUB09764A_H09v1_S-41,130.91525164890498,0.0008335505306888127
10,11,S_ciliatum,Hatschbach,44965,Brazil,35.2,S-11,PREP0024_RAsprSUB09764A_F10v1_S-11,139.837809695387,0.0008344145863316237
